1,-ology words,horologist,horologist,CORRECT,,0 min. 22 sec.
2,gk. chlor (green),chlorosis,chlorosis,CORRECT,,0 min. 4 sec.
3,/gh/ italian sound (silent h mishap),spaghetti,spaghetti,CORRECT,,0 min. 5 sec.
4,silly mistakes,revelatory,revelatory,CORRECT,,0 min. 7 sec.
5,latin di - 2,dichondra,daichondra,INCORRECT,,0 min. 21 sec.
6,?sound confusion? - /t/->:d:,meddlesome,meddlesome,CORRECT,,0 min. 8 sec.
7,schwa troubles - latin a,gramineous,gremineous,INCORRECT,,0 min. 17 sec.
8,SCOTTISH WORDS,haggis,haggis,CORRECT,,0 min. 4 sec.
9,schwa troubles - med. latin e,numinous,noumenous,INCORRECT,,0 min. 5 sec.
10,/p/ is :ph:,naphtha,naphtha,CORRECT,,0 min. 3 sec.
11,Latin \ah\ sound,obloquy,obloquy,CORRECT,,0 min. 4 sec.
12,Latin,decant,decant,CORRECT,,0 min. 3 sec.
13,Latin \a\ Sound,acetabulum,acetabulum,CORRECT,,0 min. 5 sec.
14,Latin \long a\ sound,stapes,stapes,CORRECT,,0 min. 4 sec.
15,Latin \e\ sound,feculent,feculant,INCORRECT,'feculent' added to tag '-ant Words'<br><br>'feculent' added to tag '-ent Words'<br><br>,1 min. 1 sec.
16,Latin \long e\ Sound,aesculapian,aesculapian,CORRECT,,0 min. 13 sec.
17,Latin \schwa i\ sound,coriaceous,coriaceous,CORRECT,,0 min. 8 sec.
18,Paidea - Colorific,brassy,brassy,CORRECT,,0 min. 4 sec.
19,Paideia - Chemistry,acid,acid,CORRECT,,0 min. 3 sec.
20,Paideia - POE,prescience,prescience,CORRECT,,0 min. 6 sec.
21,Paideia,cantina,cantina,CORRECT,,0 min. 4 sec.
22,Paideia - Del Espagnol,flamingo,flamingo,CORRECT,,0 min. 3 sec.
23,Untagged,crumpet,crumpet,CORRECT,,0 min. 4 sec.
24,silly mistakes,tenaculum,tenaculum,CORRECT,,0 min. 3 sec.
25,Latin \ah\ sound,obtund,obtund,CORRECT,,0 min. 4 sec.
26,Latin,evert,evert,CORRECT,,0 min. 3 sec.
27,Latin \a\ Sound,caveat,caveat,CORRECT,,0 min. 4 sec.
