1,-ology words,horologist,horologist,CORRECT,,3 min. 25 sec.
2,gk. chlor (green),chlorosis,chlorosis,CORRECT,,0 min. 4 sec.
3,/gh/ italian sound (silent h mishap),spaghetti,spaghetti,CORRECT,,0 min. 9 sec.
4,silly mistakes,vermiculate,vermiculate,CORRECT,,0 min. 16 sec.
5,latin di - 2,dichondra,daichondra,INCORRECT,,0 min. 6 sec.
6,?sound confusion? - /t/->:d:,meddlesome,meddlesome,CORRECT,,0 min. 10 sec.
7,schwa troubles - latin a,gramineous,gramineous,CORRECT,,0 min. 4 sec.
8,SCOTTISH WORDS,haggis,haggis,CORRECT,,0 min. 6 sec.
9,schwa troubles - med. latin e,numinous,numenous,INCORRECT,,0 min. 6 sec.
10,/p/ is :ph:,naphtha,naphtha,CORRECT,,4 min. 51 sec.
11,Latin \ah\ sound,moxa,moxa,CORRECT,,1 min. 28 sec.
12,Latin,excursus,excursus,CORRECT,,0 min. 4 sec.
13,Latin \a\ Sound,decant,decant,CORRECT,,0 min. 4 sec.
14,Latin \long a\ sound,fabian,fabian,CORRECT,,0 min. 4 sec.
15,Latin \e\ sound,esculent,esculent,CORRECT,,0 min. 4 sec.
16,Latin \long e\ Sound,milium,millium,INCORRECT,,0 min. 4 sec.
17,Latin \schwa i\ sound,faldstool,faldstool,CORRECT,,0 min. 5 sec.
18,Untagged,pristine,pristine,CORRECT,,0 min. 3 sec.
19,silly mistakes,purim,corymb,INCORRECT,,0 min. 4 sec.
20,schwa troubles - med. latin e,tenaculum,tenaculum,CORRECT,,0 min. 4 sec.
21,Latin \ah\ sound,cartulary,cartulary,CORRECT,,0 min. 3 sec.
22,Latin,tapetum,tapetum,CORRECT,,0 min. 4 sec.
23,Latin \a\ Sound,animadversion,animadversion,CORRECT,,0 min. 4 sec.
24,Latin \long a\ sound,fecit,ficket,INCORRECT,,0 min. 6 sec.
25,Latin \e\ sound,medulla,medulla,CORRECT,,0 min. 3 sec.
26,Latin \long e\ Sound,extremum,extremum,CORRECT,,0 min. 5 sec.
27,Latin \schwa i\ sound,fauces,fauces,CORRECT,,0 min. 3 sec.
28,Untagged,teleological,teleological,CORRECT,,0 min. 5 sec.
29,silly mistakes,mach,mach,CORRECT,,0 min. 3 sec.
30,Latin \ah\ sound,incondite,incondit,INCORRECT,,0 min. 6 sec.
31,Latin,anglice,anglicae,INCORRECT,,0 min. 5 sec.
32,Latin \a\ Sound,saracen,ceracin,INCORRECT,,0 min. 5 sec.
33,Latin \long a\ sound,buccinator,buccinator,CORRECT,,0 min. 5 sec.
34,Latin \e\ sound,epistoler,epistolar,INCORRECT,,0 min. 4 sec.
35,Latin \long e\ Sound,penates,pinates,INCORRECT,,0 min. 4 sec.
36,Latin \schwa i\ sound,scorpaenid,scorpaenid,CORRECT,,0 min. 4 sec.
37,Untagged,anchovy,anchovy,CORRECT,,0 min. 5 sec.
38,silly mistakes,foreland,foreland,CORRECT,,0 min. 4 sec.
39,Latin \ah\ sound,hebdomadal,hebdomadal,CORRECT,,0 min. 5 sec.
