ablution,"a cleansing with water or other liquid, especially as a religious ritual.",the ritual washing of a priest's hands or of sacred vessels,,noun,Middle English,Latin,Latin,https://static.sfdict.com/audio/A00/A0025900.mp3
abolitionist,(especially prior to the Civil War) a person who advocated or supported the abolition  of slavery in the U.S.,,,noun,No origin given.,,,https://static.sfdict.com/audio/A00/A0028300.mp3
acerbic,sour or astringent in taste: Lemon juice is acerbic.,"harsh, bitter, or astringent; sour",,adjective,Latin,Latin,,https://static.sfdict.com/audio/A00/A0069200.mp3
Achilles,"the greatest Greek warrior in the Trojan War and hero of Homer's Iliad. He killed Hector and was killed when Paris wounded him in the heel, his one vulnerable spot, with an arrow.",Greek myth,,noun,No origin given.,,,https://static.sfdict.com/audio/A00/A0079400.mp3
acoelous,without a true alimentary canal.,,,adjective,No origin given.,,,https://static.sfdict.com/audio/A00/A0091500.mp3
acquiescent,disposed to acquiesce  or consent tacitly.,,,adjective,Latin,,,https://static.sfdict.com/audio/A00/A0094100.mp3
acrimonious,"caustic, stinging, or bitter in nature, speech, behavior, etc.: an acrimonious answer; an acrimonious dispute.","characterized by bitterness or sharpness of manner, speech, temper, etc",,adjective,Latin,,,https://static.sfdict.com/audio/A00/A0096600.mp3
adherend,any substance bonded to another by an adhesive.,,,noun,Latin,,,https://static.sfdict.com/audio/A01/A0129500.mp3
adminicle,an aid; auxiliary.,law,,noun,Latin,Latin,,https://static.sfdict.com/audio/A01/A0139300.mp3
aesthetically,according to aesthetics  or its principles.,,,adverb,,,,https://static.sfdict.com/audio/A01/A0178200.mp3
alary,of or relating to wings.,"of, relating to, or shaped like wings",,adjective,Latin,Latin,,https://static.sfdict.com/audio/A02/A0266400.mp3
albedometer,an instrument that measures the albedo  of a surface.,,,noun,No origin given.,,,https://static.sfdict.com/audio/A02/A0269800.mp3
Alison,"a female given name, form of Alice.",sweet alison another name for sweet alyssum,,noun,No origin given.,,,https://static.sfdict.com/audio/A03/A0310400.mp3
amethyst,"a purple or violet quartz, used as a gem.",a purple or violet transparent variety of quartz used as a gemstone. Formula: SiO 2,,noun,Middle English,Latin,French,https://static.sfdict.com/audio/A03/A0388400.mp3
amygdaline,"of, relating to, or resembling an almond.",anatomy,,adjective,Latin,Greek,,https://static.sfdict.com/audio/A04/A0424700.mp3
Anakim,"tall people or giants who lived in southern Palestine and were destroyed or scattered after the arrival of the Hebrews. Numbers 13:28, 31; Deuteronomy 2:21; 9:2.",,,plural noun,,,,https://static.sfdict.com/audio/A04/A0435300.mp3
andragogy,"the methods or techniques used to teach adults: Many educators believe that the principles of andragogy, as advanced by Malcolm Knowles, have great relevance to adult education; others are not so certain.",,,noun,No origin given.,,,https://static.sfdict.com/audio/A04/A0457200.mp3
anemochore,"an anemochorous  plant, seed, or spore.",a plant in which the fruits or seeds are dispersed by wind,,noun,Greek,,,https://static.sfdict.com/audio/A04/A0465100.mp3
antepenultimate,third from the end.,third from last,,adjective,No origin given.,,,https://static.sfdict.com/audio/A05/A0522900.mp3
aphagia,difficulty or pain in swallowing.,pathol,,noun,Greek,,,https://static.sfdict.com/audio/A05/A0584400.mp3
arete,"the aggregate of qualities, as valor and virtue, making up good character: Our greatest national heroes not only did extraordinary things, but had enormous arete.","a sharp rugged mountain ridge, produced by glaciation.",a sharp ridge separating two cirques or glacial valleys in mountainous regions,noun,Greek,Latin,French,https://static.sfdict.com/audio/A06/A0666300.mp3
armament,the arms  and equipment with which a military unit or military apparatus is supplied.,(often plural),,noun,Latin,Latin,,https://static.sfdict.com/audio/A06/A0683800.mp3
arrears,"the state of being behind or late, especially in the fulfillment of a duty, promise, obligation, or the like: Many homeowners have fallen into arrears.",Also called: arrearage (əˈrɪərɪdʒ) (sometimes singular),,plural noun,Middle English,Latin,French,https://static.sfdict.com/audio/A06/A0696300.mp3
aryepiglottic,pertaining to or connecting the arytenoid cartilage and the epiglottis.,,,adjective,Greek,,,https://static.sfdict.com/audio/A07/A0719000.mp3
asymmetric,not identical on both sides of a central line; unsymmetrical; lacking symmetry: Most faces are asymmetric.,not symmetrical; lacking symmetry; misproportioned,,adjective,,,,https://static.sfdict.com/audio/A07/A0770700.mp3
atavistic,"of, relating to, or characterized by atavism;  reverting to or suggesting the characteristics of a remote ancestor or primitive type.",of or relating to reversion to a former or more primitive type,,adjective,No origin given.,,,https://static.sfdict.com/audio/A07/A0774600.mp3
atrocious,"extremely or shockingly wicked, cruel, or brutal: an atrocious crime.",extremely cruel or wicked; ruthless,,adjective,Latin,,,https://static.sfdict.com/audio/A07/A0789700.mp3
ayuntamiento,a municipal government.,,,"noun,",No origin given.,,,https://static.sfdict.com/audio/A08/A0866600.mp3
bacteriolysis,disintegration or dissolution of bacteria.,the destruction or disintegration of bacteria,,noun,,,,https://static.sfdict.com/audio/B00/B0026900.mp3
Bahr,"Her·mann  [her-mahn],  /ˈhɛr mɑn/,  1863–1934,",,,noun,,,,https://static.sfdict.com/audio/B00/B0039600.mp3
Benedicite,Ecclesiastical.,(esp in Christian religious orders) a blessing or grace,Christianity,noun,Middle English,Latin,Latin,https://static.sfdict.com/audio/B02/B0240100.mp3
bergschrund,"a crevasse, or series of crevasses, at the upper end of a mountain glacier.",a crevasse at the head of a glacier,,noun,German,German,,https://static.sfdict.com/audio/B02/B0262300.mp3
bonaci,"any of several edible serranid fishes, as Mycteroperca bonaci.",,,"noun,",,,,https://static.sfdict.com/audio/B04/B0480000.mp3
Bonnaz,embroidery made by machine.,,,noun,French,,,https://static.sfdict.com/audio/B04/B0488800.mp3
bouleuterion,a council chamber in ancient Greece.,,,"noun,",Greek,,,https://static.sfdict.com/audio/B05/B0537300.mp3
bracteate,Also brac·te·ose  [brak-tee-ohs].  /ˈbræk tiˌoʊs/. Botany.,(of a plant) having bracts,,adjective,Latin,Latin,,https://static.sfdict.com/audio/B05/B0565500.mp3
brusquely,"in a rough or blunt way; abruptly: Yes, she does brusquely put people in their place, and she can be a little gruff.",,,adverb,,,,https://static.sfdict.com/audio/NEW2016/brusquely_010.mp3
buccinator,"a thin, flat muscle lining the cheek, the action of which contracts and compresses the cheek.","a thin muscle that compresses the cheeks and holds them against the teeth during chewing, etc",,noun,Latin,Latin,,https://static.sfdict.com/audio/B06/B0663400.mp3
buran,a strong Asian wind of the Asian steppes accompanying dust storms in summer and blizzards in winter.,"a blizzard, with the wind blowing from the north and reaching gale force",,noun,No origin given.,,,https://static.sfdict.com/audio/NEW2016/buran_000.mp3
byrnie,a coat of mail; hauberk.,an archaic word for coat of mail,,noun,Middle English,German,German,https://static.sfdict.com/audio/B07/B0746100.mp3
capeador,"a person who assists a matador by harassing or distracting the bull with a red cape, or capa.",,,"noun,",No origin given.,,,https://static.sfdict.com/audio/C01/C0110400.mp3
