word,def1,def2,def3,pos,loo1,loo2,loo3,soundfile
alpargata,a light canvas shoe with a plaited fiber sole; an espadrille.,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/alpargata__us_2.mp3
analepsis,"a literary device in narrative, in which a past event is narrated at a point later than its chronological place in a story.",ascension into heaven,,Noun,Latin,Greek,,https://audio.oxforddictionaries.com/en/mp3/analepsis__us_2.mp3
barracks,a building or group of buildings used to house soldiers,,,Noun,French,Italian,,https://audio.oxforddictionaries.com/en/mp3/barracks__us_1.mp3
bavardage,idle gossip; chitchat,,,Noun,French,,,https://audio.oxforddictionaries.com/en/mp3/bavardage__us_1.mp3
boutade,a sudden outburst or outbreak.,,,Noun,French,,,https://audio.oxforddictionaries.com/en/mp3/boutade__us_1.mp3
bucatini,pasta in the shape of small tubes.,,,Noun,Italian,,,https://audio.oxforddictionaries.com/en/mp3/bucatini__us_1.mp3
bulgogi,a Korean dish of thin beef slices marinated and grilled on a barbecue.,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/bulgogi__us_1.mp3
cahoots,,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/cahoots__us_1.mp3
calligram,a word or piece of text in which the design and layout of the letters creates a visual image related to the meaning of the words themselves,,,Noun,French,,,https://audio.oxforddictionaries.com/en/mp3/calligram__us_2.mp3
coalescence,the joining or merging of elements to form one mass or whole,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/coalescence__us_1.mp3
couverture,"chocolate made with extra cocoa butter to give a high gloss, used for covering sweets and cakes",,,Noun,French,,,https://audio.oxforddictionaries.com/en/mp3/couverture__us_1.mp3
DJ,a person who introduces and plays recorded popular music on radio,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/dj_1_us_2_abbr.mp3
DJ,a person who introduces and plays recorded popular music on radio,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/dj_1_us_2_abbr.mp3
epideictic,characterized by or designed to display rhetorical or oratorical skill.,,,Adjective,Greek,,,https://audio.oxforddictionaries.com/en/mp3/epideictic__us_1.mp3
escabeche,a dish of fish that is fried then marinated in vinegar and spices.,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/escabeche__us_1.mp3
fajitas,"a dish of Mexican origin consisting of strips of spiced beef or chicken, chopped vegetables, and grated cheese, wrapped in a soft tortilla and often served with sour cream.",,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/fajitas__us_1_rr.mp3
hinoki,"a tall slow-growing tree native to Japan, that has bright green leaves and yields a valuable timber.",,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/hinoki__us_1.mp3
katsura,"an ornamental eastern Asian tree that has leaves that resemble those of the Judas tree and light, fine-grained timber.",,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/katsura__us_1.mp3
loppers,"a cutting tool, especially for pruning trees",,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/loppers__us_1.mp3
Mesopotamian,relating to or characteristic of the ancient southwestern Asian region of Mesopotamia or its inhabitants,,,Adjective,,,,https://audio.oxforddictionaries.com/en/mp3/mesopotamian_1_us_1.mp3
Moroccan,relating to Morocco or its people,,,Adjective,,,,https://audio.oxforddictionaries.com/en/mp3/moroccan_1_us_1.mp3
muchacha,(in Spanish-speaking regions) a young woman.,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/muchacha__us_2.mp3
naissant,"(of a charge, especially an animal) issuing from the middle of an ordinary, especially a fess.",,,Adjective,Latin,French,,https://audio.oxforddictionaries.com/en/mp3/nascent__us_2_rr.mp3
querida,(in Spanish-speaking regions) a female romantic partner (often as an affectionate form of address),,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/querida__us_1.mp3
sakura,(especially in Japan) a flowering cherry tree,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/sakura__us_1.mp3
shubunkin,"a goldfish of an ornamental variety, having black spots, red patches, and long fins and tail.",,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/shubunkin__us_1.mp3
spectacles,,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/spectacles__us_2.mp3
speleothem,"a structure formed in a cave by the deposition of minerals from water, e.g. a stalactite or stalagmite.",,,Noun,Greek,,,https://audio.oxforddictionaries.com/en/mp3/speleothem__us_1.mp3
surmountable,,,,Adjective,,,,https://audio.oxforddictionaries.com/en/mp3/surmountable__us_1.mp3
Taoiseach,the prime minister of the Republic of Ireland.,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/taoiseach_1_us_2.mp3
tenaciously,with a firm hold of something; closely,,,Adverb,,,,https://audio.oxforddictionaries.com/en/mp3/tenaciously__us_1.mp3
trouvaille,a lucky find,,,Noun,French,,,https://audio.oxforddictionaries.com/en/mp3/trouvaille__us_1.mp3
tulsi,,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/tulsi__us_1.mp3
turbinado,a type of partially refined light brown cane sugar similar to demerara but with larger crystals.,,,Noun,,,,https://audio.oxforddictionaries.com/en/mp3/turbinado__us_1.mp3
undulating,having a smoothly rising and falling form or outline,,,Adjective,,,,https://audio.oxforddictionaries.com/en/mp3/undulating__us_1.mp3
