word,def1,def2,def3,pos,loo1,loo2,loo3,soundfile
flammeous,: consisting of or resembling the color of flame,,,adjective,Latin,,, ˈflamēəs
atrament,: ink,: a very dark substance,,noun,Middle English,Latin,, ˈa‧trəmənt
hematochrome,: an orange or reddish coloring matter found in various algae (as red snow),,,noun,,,, ˌkrōm
chrysochlorous,: of the color golden green,,,adjective,Greek,,
adustiosis,: a physiological breakdown of the rind of citrus fruit (as lemons) causing a reddish discoloration,,,noun,Latin,,, ə-ˌdə-stē-ˈō-səs
brunneous,: dark brown,,,adjective,Latin,,, ˈbrənēəs
cinereal,: cinereous,,,adjective,Latin,,, -ēəl
xanthic,of or relating to a yellow or yellowish color.,"of, containing, or derived from xanthic acid",,adjective,French,,,https://static.sfdict.com/audio/X00/X0001200.mp3
bardiglio,: an Italian marble commonly having a dark gray or bluish ground traversed by veins and occurring in its principal varieties in the neighborhood of Carrara and in Corsica,,,noun,Latin,Italian,Spanish, bärˈdēl(ˌ)yō
erythropsia,A visual disturbance in which all objects appear reddish,,,Noun,Medical / Scientific,,,https://media.merriam-webster.com/audio/prons/en/us/mp3/e/eryth62m.mp3
philamot,: feuille morte,,,noun,French,,, ˈfiləˌmät
phaeochrous,: dusky,,,adjective,Greek,,, fēˈäkrəs
wiesenboden,: any of an intrazonal group of dark brown to black meadow soils rich in organic matter with gray underlayers developed through poor drainage in humid or subhumid grassy or sedgy regions,,,noun,German,,, ˈvēzᵊnˌbōdᵊn
tilleul,: a pale greenish yellow that is very slightly paler than primrose green,,,noun,Latin,French,, tə̇ˈyər(‧ə)l
coulometry,"a method used in quantitative analysis, whereby the amount of a substance set free or deposited during electrolysis is determined by measuring the number of coulombs  that passed through the electrolyte.",,,noun,,,,https://static.sfdict.com/audio/C09/C0900400.mp3
reminiscence,"the act or process of recalling past experiences, events, etc.",the act of recalling or narrating past experiences,,noun,Latin,French,,https://static.sfdict.com/audio/R01/R0186800.mp3
hieroglyphic,": written in, constituting, or belonging to a system of writing mainly in pictorial characters",: inscribed with hieroglyphic,: resembling hieroglyphic in difficulty of decipherment,adjective,Latin,French,Greek, ˌhī-(ə-)rə-ˈgli-fik
habiliment,Usually habiliments.,(often plural),,noun,Middle English,Latin,French,https://static.sfdict.com/audio/H00/H0002300.mp3
camisa,: a shirt or undershirt for men or women,: a woman's embroidered blouse with loose sleeves,,noun,Latin,Spanish,, kəˈmēsə
cargador,: porter,: stevedore,,noun,Spanish,,, ¦kärgə¦dȯ(ə)r
faja,"a broad, brightly colored sash traditionally worn by Spanish and Latin American men.",,,noun,Latin,Spanish,,https://static.sfdict.com/audio/F00/F0019800.mp3
blanquillo,"any of several game fishes of the genus Caulolatilus, related to the tilefishes.",,,"noun,",Spanish,,,https://static.sfdict.com/audio/B04/B0400900.mp3
rasgado,: the arpeggio effect produced by sweeping the strings with the thumb in guitar playing,,,noun,Latin,Spanish,, räsˈgä(ˌ)dō
jicara,: calabash sense 2a,: a cup or bowl made from the fruit of a calabash tree,,noun,Spanish,,, ˈhēkərə
suerte,: a skilled movement or pass in a bullfight,,,noun,Latin,Spanish,, ˈswer(ˌ)tā
palometa,"a pompano, Trachinotus goodei, of tropical and temperate Atlantic seas, having long, tapering fins.",,,noun,Latin,Spanish,,https://static.sfdict.com/audio/P00/P0043700.mp3
